ID,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,INSTI_STATE,INSTITUTE_DISTRICT,INST_TYPE,PROGRAMME,AFFILIATING_UNIVERSITY,LEVEL_OF_COURSE,COURSE,ACCREDITATION_STATUS,ACCREDITATION_TYPE,ACCREDITATION_TILL,APPROVED_INTAKE
89,1-9318153057,NEHRU INSTITUTE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,AERONAUTICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
90,1-9318153057,NEHRU INSTITUTE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
91,1-9318153057,NEHRU INSTITUTE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,60
92,1-9318175379,THANTHAI PERIYAR GOVERNMENT INSTITUTE OF TECHNOLOGY,Tamil Nadu,VELLORE,Government,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
93,1-9318175379,THANTHAI PERIYAR GOVERNMENT INSTITUTE OF TECHNOLOGY,Tamil Nadu,VELLORE,Government,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,120
94,1-9318175379,THANTHAI PERIYAR GOVERNMENT INSTITUTE OF TECHNOLOGY,Tamil Nadu,VELLORE,Government,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,120
95,1-9318156781,HRH THE PRINCE OF WALES INSTITUTE OF ENGG TECH ,Assam,JORHAT,Government,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Assam",DIPLOMA,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
96,1-9318156781,HRH THE PRINCE OF WALES INSTITUTE OF ENGG TECH ,Assam,JORHAT,Government,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Assam",DIPLOMA,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,40
97,1-9318156781,HRH THE PRINCE OF WALES INSTITUTE OF ENGG TECH ,Assam,JORHAT,Government,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Assam",DIPLOMA,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,40
98,1-9318156781,HRH THE PRINCE OF WALES INSTITUTE OF ENGG TECH ,Assam,JORHAT,Government,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Assam",DIPLOMA,MECHANICAL ENGINEERING (AUTO),ACCREDITED,NBA,30-06-2022,30
99,1-9318157249,B P PODDAR INSTITUTE OF MANAGEMENT TECHNOLOGY,West Bengal,NORTH 24 PARGANAS,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maulana Abul Kalam Azad University of Technology, West Bengal",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,120
100,1-9318157249,B P PODDAR INSTITUTE OF MANAGEMENT TECHNOLOGY,West Bengal,NORTH 24 PARGANAS,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maulana Abul Kalam Azad University of Technology, West Bengal",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2022,120
101,1-9318157249,B P PODDAR INSTITUTE OF MANAGEMENT TECHNOLOGY,West Bengal,NORTH 24 PARGANAS,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maulana Abul Kalam Azad University of Technology, West Bengal",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,60
102,1-9318157249,B P PODDAR INSTITUTE OF MANAGEMENT TECHNOLOGY,West Bengal,NORTH 24 PARGANAS,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maulana Abul Kalam Azad University of Technology, West Bengal",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
103,1-9317379106,LLOYD INSTITUTE OF MANAGEMENT TECHNOLOGY PHARM ,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Private-Self Financing,PHARMACY,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",UNDER GRADUATE,PHARMACY,ACCREDITED,NBA,30-06-2021,100
104,1-9318225172,DHANALAKSHMI SRINIVASAN ENGINEERING COLLEGE,Tamil Nadu,PERAMBALUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,BIOMEDICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,120
105,1-9318225172,DHANALAKSHMI SRINIVASAN ENGINEERING COLLEGE,Tamil Nadu,PERAMBALUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,120
106,1-9318225172,DHANALAKSHMI SRINIVASAN ENGINEERING COLLEGE,Tamil Nadu,PERAMBALUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,120
107,1-9318229381,BIRLA INSTITUTE OF MANAGEMENT TECHNOLOGY,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Private-Self Financing,MANAGEMENT,None,POST GRADUATE DIPLOMA,PGDM,ACCREDITED,NBA,30-06-2021,240
108,1-9318229381,BIRLA INSTITUTE OF MANAGEMENT TECHNOLOGY,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Private-Self Financing,MANAGEMENT,None,POST GRADUATE DIPLOMA,PGDM(INTERNATIONAL BUSINESS),ACCREDITED,NBA,30-06-2021,60
109,1-9318229381,BIRLA INSTITUTE OF MANAGEMENT TECHNOLOGY,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Private-Self Financing,MANAGEMENT,None,POST GRADUATE DIPLOMA,PGDM (RETAIL MANAGEMENT),ACCREDITED,NBA,30-06-2024,60
110,1-9318229381,BIRLA INSTITUTE OF MANAGEMENT TECHNOLOGY,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Private-Self Financing,MANAGEMENT,None,POST GRADUATE DIPLOMA,PGDM(INSURANCE BUSINESS MANGEMENT),ACCREDITED,NBA,30-06-2024,60
111,1-9318238708,RAJAGOPAL POLYTECHNIC COLLEGE,Tamil Nadu,VELLORE,Govt aided,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Chennai",DIPLOMA,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
112,1-9318238708,RAJAGOPAL POLYTECHNIC COLLEGE,Tamil Nadu,VELLORE,Govt aided,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Chennai",DIPLOMA,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,240
113,1-9318238708,RAJAGOPAL POLYTECHNIC COLLEGE,Tamil Nadu,VELLORE,Govt aided,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Chennai",DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,120
114,1-9318238708,RAJAGOPAL POLYTECHNIC COLLEGE,Tamil Nadu,VELLORE,Govt aided,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Chennai",DIPLOMA,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,60
115,1-9318239655,KIT-KALAIGNARKARUNANIDHI INSTITUTE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2023,60
116,1-9318239655,KIT-KALAIGNARKARUNANIDHI INSTITUTE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2023,120
117,1-9318239655,KIT-KALAIGNARKARUNANIDHI INSTITUTE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2023,60
118,1-9318239655,KIT-KALAIGNARKARUNANIDHI INSTITUTE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
119,1-9318249554,SRI RAMACHANDRA FACULTY OF PHARMACY,Tamil Nadu,KANCHIPURAM,Private-Self Financing,PHARMACY,Sri Ramachandra Institute of Higher Education and Research (Deemed to be University),UNDER GRADUATE,PHARMACY,ACCREDITED,NBA,30-06-2022,100
120,1-9318240444,P A COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2023,120
121,1-9318240444,P A COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2023,120
122,1-9318240444,P A COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,60
123,1-9318240444,P A COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2023,60
124,1-9318181224,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
125,1-9318181224,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,60
126,1-9318182149,SCHOOL OF TECHNOLOGY THE CONSTITUENT SCHOOL PANDIT DEENDAYAL PETROLEUM UNIVERSITY ,Gujarat,GANDHINAGAR,State Private University,ENGINEERING AND TECHNOLOGY,"Pandit Deendayal Petroleum University, Gujarat",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
127,1-9318221318,POLYTECHNIC COLLEGE VADAKKANGULAM,Tamil Nadu,TIRUNELVELI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Directorate of Technical Education, Chennai",DIPLOMA,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,180
128,1-9318190878,DAYALBAGH EDUCATIONAL INSTITUTE,Uttar Pradesh,AGRA,Govt aided,ENGINEERING AND TECHNOLOGY,"Dayalbagh Educational Institute, Agra",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
129,1-9318190878,DAYALBAGH EDUCATIONAL INSTITUTE,Uttar Pradesh,AGRA,Govt aided,ENGINEERING AND TECHNOLOGY,"Dayalbagh Educational Institute, Agra",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
130,1-9318257924,GOVT ENGG COLLEGE JAGDALPUR BASTAR CHHATTISGARH,Chhattisgarh,BASTAR,Government,ENGINEERING AND TECHNOLOGY,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
131,1-9318268174,SRI SAI RAM INSTITUTE OF TECHNOLOGY,Tamil Nadu,KANCHIPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
132,1-9318268174,SRI SAI RAM INSTITUTE OF TECHNOLOGY,Tamil Nadu,KANCHIPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2021,120
133,1-9318268174,SRI SAI RAM INSTITUTE OF TECHNOLOGY,Tamil Nadu,KANCHIPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
134,1-9318268174,SRI SAI RAM INSTITUTE OF TECHNOLOGY,Tamil Nadu,KANCHIPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2021,120
135,1-9318268174,SRI SAI RAM INSTITUTE OF TECHNOLOGY,Tamil Nadu,KANCHIPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
136,1-9317409013,POORNIMA INSTITUTE OF ENGINEERING TECHNOLOGY,Rajasthan,JAIPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rajasthan Technical University, Kota",UNDER GRADUATE,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2023,180
137,1-9317409013,POORNIMA INSTITUTE OF ENGINEERING TECHNOLOGY,Rajasthan,JAIPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rajasthan Technical University, Kota",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,30
138,1-9317322650,KGISL INSTITUTE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,60
139,1-9317441234,R M K COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,THIRUVALLUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
140,1-9317441234,R M K COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,THIRUVALLUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2021,180
141,1-9317441234,R M K COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,THIRUVALLUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,30
142,1-9317449173,JAIPURIA INSTITUTE OF MANAGEMENT NOIDA,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Private-Self Financing,MANAGEMENT,"Directorate of Training and Technical Education, New Delhi",POST GRADUATE DIPLOMA,PGDM,ACCREDITED,NBA,30-06-2022,180
143,1-9317449173,JAIPURIA INSTITUTE OF MANAGEMENT NOIDA,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Private-Self Financing,MANAGEMENT,"Directorate of Training and Technical Education, New Delhi",POST GRADUATE DIPLOMA,PGDM(SERVICE MANAGEMENT),ACCREDITED,NBA,30-06-2022,60
144,1-9317449173,JAIPURIA INSTITUTE OF MANAGEMENT NOIDA,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Private-Self Financing,MANAGEMENT,"Directorate of Training and Technical Education, New Delhi",POST GRADUATE DIPLOMA,PGDM(MARKETING),ACCREDITED,NBA,30-06-2022,120
145,1-9317427537,VELS INSTITUTE OF SCIENCE TECHNOLOGY AND ADVANCED STUDIES VISTAS ,Tamil Nadu,KANCHIPURAM,Deemed to be University(Pvt),MANAGEMENT,"Vels Institute of Science, Technology and Advanced Studies , Chennai",POST GRADUATE,MBA,ACCREDITED,NBA,30-06-2023,120
146,1-9317429440,SRI RAMAKRISHNA INSTITUTE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
147,1-9317429440,SRI RAMAKRISHNA INSTITUTE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2022,60
148,1-9317429440,SRI RAMAKRISHNA INSTITUTE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,30
149,1-9317422345,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING TECHNOLOGY,Uttar Pradesh,LUCKNOW,Government,ENGINEERING AND TECHNOLOGY,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",UNDER GRADUATE,PLASTICS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
150,1-9317422345,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING TECHNOLOGY,Uttar Pradesh,LUCKNOW,Government,ENGINEERING AND TECHNOLOGY,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",UNDER GRADUATE,MANUFACTURING TECHNOLOGY,ACCREDITED,NBA,30-06-2021,60
151,1-9317445459,K S R INSTITUTE FOR ENGINEERING AND TECHNOLOGY,Tamil Nadu,NAMAKKAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
152,1-9317445459,K S R INSTITUTE FOR ENGINEERING AND TECHNOLOGY,Tamil Nadu,NAMAKKAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2022,60
153,1-9317445459,K S R INSTITUTE FOR ENGINEERING AND TECHNOLOGY,Tamil Nadu,NAMAKKAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,60
154,1-9317445459,K S R INSTITUTE FOR ENGINEERING AND TECHNOLOGY,Tamil Nadu,NAMAKKAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,60
155,1-9317445459,K S R INSTITUTE FOR ENGINEERING AND TECHNOLOGY,Tamil Nadu,NAMAKKAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,60
156,1-9317423999,GOVT COLLEGE OF ENGINEERING TECHNOLOGY JAMMU,Jammu and Kashmir,JAMMU,Government,ENGINEERING AND TECHNOLOGY,"Jammu University , Jammu Tawi",UNDER GRADUATE,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2021,60
157,1-9317423999,GOVT COLLEGE OF ENGINEERING TECHNOLOGY JAMMU,Jammu and Kashmir,JAMMU,Government,ENGINEERING AND TECHNOLOGY,"Jammu University , Jammu Tawi",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,60
158,1-9317423999,GOVT COLLEGE OF ENGINEERING TECHNOLOGY JAMMU,Jammu and Kashmir,JAMMU,Government,ENGINEERING AND TECHNOLOGY,"Jammu University , Jammu Tawi",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
159,1-9317415267,COLLEGE OF ENGINEERING TECHNOLOGY IILM ACADEMY OF HIGHER LEARNING,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",UNDER GRADUATE,BIOTECHNOLOGY,ACCREDITED,NBA,30-06-2021,90
160,1-9317415267,COLLEGE OF ENGINEERING TECHNOLOGY IILM ACADEMY OF HIGHER LEARNING,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,90
161,1-9520114661,JAGAN INSTITUTE OF MANAGEMENT STUDIES,Delhi,NORTH WEST DELHI,Private-Self Financing,MANAGEMENT,NONE,POST GRADUATE DIPLOMA,PGDM,ACCREDITED,NBA,30-06-2021,180
162,1-9520114661,JAGAN INSTITUTE OF MANAGEMENT STUDIES,Delhi,NORTH WEST DELHI,Private-Self Financing,MANAGEMENT,NONE,POST GRADUATE DIPLOMA,PGDM (RETAIL MANAGEMENT),ACCREDITED,NBA,30-06-2021,60
163,1-9520114661,JAGAN INSTITUTE OF MANAGEMENT STUDIES,Delhi,NORTH WEST DELHI,Private-Self Financing,MANAGEMENT,NONE,POST GRADUATE DIPLOMA,PGDM (INTERNATIONAL BUSINESS),ACCREDITED,NBA,30-06-2021,60
164,1-9327166933,VIVEKANAND EDUCATION SOCIETY S BUSINESS SCHOOL,Maharashtra,MUMBAI SUBURBAN,Private-Self Financing,MANAGEMENT,NONE,POST GRADUATE DIPLOMA,PGDM,ACCREDITED,NBA,30-06-2022,180
165,1-9323320189,MALLA REDDY ENGINEERING COLLEGE FOR WOMEN,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2022,240
166,1-9323320189,MALLA REDDY ENGINEERING COLLEGE FOR WOMEN,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,240
167,1-9323320189,MALLA REDDY ENGINEERING COLLEGE FOR WOMEN,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,60
168,1-9355588752,GRAPHIC ERA DEEMED TO BE UNIVERSITY,Uttarakhand,DEHRADUN,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Graphic Era University, Dehradun",UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,ACCREDITED,NBA,30-06-2021,480
169,1-9355588752,GRAPHIC ERA DEEMED TO BE UNIVERSITY,Uttarakhand,DEHRADUN,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Graphic Era University, Dehradun",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
170,1-9355588752,GRAPHIC ERA DEEMED TO BE UNIVERSITY,Uttarakhand,DEHRADUN,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Graphic Era University, Dehradun",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,60
171,1-9323321987,SETHU INSTITUTE OF TECHNOLOGY,Tamil Nadu,VIRUDHUNAGAR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,60
172,1-9323321987,SETHU INSTITUTE OF TECHNOLOGY,Tamil Nadu,VIRUDHUNAGAR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,180
173,1-9323325724,VISHWESHWARAYYA ABHIYANTRIKI PADVIKA MAHAVIDYALAYA,Maharashtra,LATUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2022,60
174,1-9323325724,VISHWESHWARAYYA ABHIYANTRIKI PADVIKA MAHAVIDYALAYA,Maharashtra,LATUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
175,1-9323325724,VISHWESHWARAYYA ABHIYANTRIKI PADVIKA MAHAVIDYALAYA,Maharashtra,LATUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
176,1-9323325724,VISHWESHWARAYYA ABHIYANTRIKI PADVIKA MAHAVIDYALAYA,Maharashtra,LATUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
177,1-9355591576,HINDUSTAN INSTITUTE OF TECHNOLOGY AND SCIENCE,Tamil Nadu,KANCHIPURAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Hindustan Institute of Technology and Science, Kancheepuram",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,30
178,1-9355591576,HINDUSTAN INSTITUTE OF TECHNOLOGY AND SCIENCE,Tamil Nadu,KANCHIPURAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Hindustan Institute of Technology and Science, Kancheepuram",UNDER GRADUATE,AERONAUTICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,240
179,1-9355591576,HINDUSTAN INSTITUTE OF TECHNOLOGY AND SCIENCE,Tamil Nadu,KANCHIPURAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Hindustan Institute of Technology and Science, Kancheepuram",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
